interface name=validateMySecurityQuestion; Count=1
interface name=recordFirstVisitFreeCDR; Count=1
interface name=getBookVolumeInfo; Count=1
interface name=getSerialContent; Count=1
interface name=getEquityInfo; Count=1
interface name=getCatalog; Count=1
interface name=regUserByThirdParty; Count=1
interface name=getRegUserState; Count=1
interface name=getPromotionActivity; Count=1
interface name=getBreedsList; Count=1
interface name=batchFasciculeAuthenticate; Count=1
interface name=judgeCanRegister; Count=1
interface name=getUserPaymentWay; Count=1
interface name=getCountOfDownload; Count=1
interface name=booksDirectoryAdaptation; Count=1
interface name=addCommendStaInMessage; Count=1
interface name=batchGetAccountByIdentityID; Count=1
interface name=getMySecurityQuestion; Count=1
interface name=getFasciculesInfo; Count=1
interface name=getReceiveBookList; Count=1
interface name=checkReaderUser; Count=1
interface name=readStaInMessage; Count=1
interface name=getUserTicketsList; Count=1
interface name=getSerialInfo; Count=1
interface name=queryPhoneCallLIstByMonthInfo; Count=1
interface name=getCatalogListByBookId; Count=1
interface name=batchContentAuthenticate; Count=1
interface name=getSubscribeDescExt; Count=1
interface name=getUserGrade; Count=1
interface name=getRegionAdapterInfo; Count=1
interface name=getBindedWeiboList; Count=1
interface name=setMySecurityQuestion; Count=1
interface name=addBetweenUserMessage; Count=1
interface name=getAuthorCount; Count=1
interface name=getBatchAuthor; Count=1
interface name=recommendRelevance; Count=1
interface name=addDownloadRecord; Count=1
interface name=getVolumeChapters; Count=1
interface name=deteleStaInMessage; Count=1
interface name=getBatchUserSns; Count=1
interface name=getUserBookmarkPageByBook; Count=1
interface name=getBookVolumes; Count=1
interface name=userRegisterAction; Count=1
interface name=getAuthorBookInfo; Count=1
interface name=downloadAuthenticate; Count=1
interface name=getBookSimpleInfo; Count=1
interface name=getBatchMsisdnByUserName; Count=1
interface name=getCatalogBreedList; Count=1
interface name=addExtendUserInfo; Count=1
interface name=addWeiboToken; Count=1
interface name=getBookPrice; Count=1
interface name=getBookClassInfo; Count=1
interface name=deleteAllStaInMessage; Count=1
interface name=showUserWeibo; Count=1
interface name=chkAccountInUse; Count=1
interface name=batchSubscribeFascicule; Count=1
interface name=getAuthorInfo; Count=1
interface name=batchAddBookmark; Count=1
interface name=checkAndModifyPwd; Count=1
interface name=getMagazineChapterInfo; Count=1
interface name=thirdPartyAccountAuthenticate; Count=1
interface name=getUserGroupByMsisdn; Count=1
interface name=getStaInMessageList; Count=1
interface name=getWeiboToken; Count=1
interface name=proceedPwdBackBussiness; Count=1
interface name=getClientStaInMessageCount; Count=1
interface name=getProductInfoList; Count=1
interface name=checkSubscribeCatalog; Count=1
interface name=getReaderInfo; Count=1
